5
1 2 3 4 5 
1 1 1 2 76 
1 2 5 5 64 
1 3 1 2 79 
1 4 1 1 30 
1 5 1 1 64 
1 6 5 5 87 
1 7 4 4 68 
1 8 1 4 35 
1 9 4 4 84 
1 10 1 1 3 
1 11 4 4 15 
1 12 3 4 42 
1 13 2 3 25 
1 14 4 4 49 
1 15 5 5 16 
1 16 5 5 58 
1 17 1 1 98 
1 18 3 3 3 
1 19 4 4 58 
1 20 5 5 6 
1 21 2 4 41 
1 22 1 4 64 
1 23 2 2 55 
1 24 2 3 12 
1 25 2 2 57 
1 26 4 4 89 
1 27 2 2 59 
1 28 4 4 87 
1 29 3 4 21 
1 30 2 2 60 
1 31 3 3 30 
1 32 5 5 11 
1 33 3 3 37 
1 34 2 4 27 
1 35 2 2 63 
1 36 4 4 16 
1 37 4 4 88 
1 38 5 5 33 
1 39 2 3 82 
1 40 3 3 97 
1 41 5 5 38 
1 42 2 2 21 
1 43 3 3 100 
1 44 4 4 32 
1 45 5 5 91 
1 46 2 2 88 
1 47 1 2 61 
1 48 3 3 9 
1 49 4 4 49 
1 50 4 4 93 
1 51 5 5 12 
1 52 4 4 84 
1 53 3 3 99 
1 54 5 5 72 
1 55 4 4 74 
1 56 5 5 7 
1 57 3 4 94 
1 58 1 1 28 
1 59 2 2 88 
1 60 3 4 14 
1 61 2 4 94 
1 62 4 4 66 
1 63 3 4 21 
1 64 2 3 46 
1 65 2 4 83 
1 66 3 3 79 
1 67 2 4 38 
1 68 3 3 92 
1 69 4 4 93 
1 70 4 4 10 
1 71 4 4 74 
1 72 1 2 81 
1 73 1 3 95 
1 74 2 3 20 
1 75 5 5 69 
1 76 2 2 37 
1 77 4 4 71 
1 78 1 4 50 
1 79 3 3 32 
1 80 3 4 16 
1 81 3 4 75 
1 82 1 1 65 
1 83 5 5 65 
1 84 4 4 67 
1 85 2 2 32 
1 86 3 4 100 
1 87 2 2 54 
1 88 5 5 14 
1 89 2 3 38 
1 90 4 4 23 
1 91 5 5 76 
1 92 1 1 50 
1 93 2 4 13 
1 94 5 5 24 
1 95 2 3 22 
1 96 2 2 76 
1 97 2 3 84 
1 98 3 4 34 
1 99 2 3 2 
1 100 1 2 28 
1 101 4 4 6 
1 102 1 1 45 
1 103 5 5 55 
1 104 2 2 67 
1 105 3 4 56 
1 106 3 3 65 
1 107 2 2 46 
1 108 1 2 99 
1 109 3 3 15 
1 110 4 4 87 
1 111 4 4 67 
1 112 1 2 78 
1 113 5 5 71 
1 114 2 4 79 
1 115 4 4 49 
1 116 4 4 33 
1 117 5 5 18 
1 118 5 5 75 
1 119 2 2 58 
1 120 5 5 9 
1 121 3 4 23 
1 122 1 4 58 
1 123 1 4 12 
1 124 3 3 24 
1 125 5 5 55 
1 126 1 2 47 
1 127 2 2 36 
1 128 2 4 63 
1 129 4 4 3 
1 130 4 4 21 
1 131 5 5 76 
1 132 5 5 8 
1 133 2 2 52 
1 134 4 4 30 
1 135 1 1 56 
1 136 4 4 14 
1 137 3 4 73 
1 138 3 3 32 
1 139 4 4 25 
1 140 4 4 70 
1 141 2 4 59 
1 142 5 5 51 
1 143 3 3 65 
1 144 3 3 33 
1 145 1 3 78 
1 146 5 5 69 
1 147 5 5 70 
1 148 5 5 63 
1 149 3 3 47 
1 150 2 4 83 
1 151 5 5 36 
1 152 5 5 60 
1 153 3 3 20 
1 154 1 2 44 
1 155 3 4 2 
1 156 2 3 7 
1 157 2 4 61 
1 158 2 3 45 
1 159 5 5 35 
1 160 2 3 30 
1 161 3 3 17 
1 162 1 2 48 
1 163 2 2 29 
1 164 4 4 90 
1 165 1 4 20 
1 166 1 3 3 
1 167 2 2 54 
1 168 2 2 12 
1 169 4 4 84 
1 170 2 4 18 
1 171 1 2 20 
1 172 1 3 99 
1 173 1 2 59 
1 174 1 1 26 
1 175 2 3 14 
1 176 1 1 3 
1 177 2 2 74 
1 178 5 5 9 
1 179 1 3 80 
1 180 2 4 22 
1 181 2 3 5 
1 182 2 3 48 
1 183 4 4 86 
1 184 5 5 28 
1 185 5 5 45 
1 186 5 5 5 
1 187 2 2 2 
1 188 2 4 33 
1 189 2 3 45 
1 190 5 5 88 
1 191 5 5 84 
1 192 1 1 62 
1 193 3 4 28 
1 194 3 3 13 
1 195 2 2 55 
1 196 5 5 64 
1 197 4 4 4 
1 198 5 5 74 
1 199 3 4 61 
1 200 1 3 34 
$
